"preg1s" "preg2s" "postg1s" "postg2s"
1 0 1 0
0 0 1 0
0 0 0 1
0 0 0 0
0 0 0 0
1 0 0 0
0 0 0 0
0 0 0 1
0 0 0 0
1 0 0 0
1 1 0 0
0 1 0 0
0 0 1 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 1 0
0 1 0 0
0 1 0 0
1 1 0 0
0 0 0 0
0 0 0 1
0 0 0 0
0 0 0 1
0 0 0 1
0 0 0 0
0 1 0 0
0 0 0 1
0 0 0 0
1 1 0 0
0 0 0 0
0 0 0 0
0 0 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 1 0 0
1 1 1 0
1 0 1 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
0 0 1 0
0 0 0 1
0 0 0 0
0 0 0 0
0 0 1 0
0 0 1 0
0 1 0 0
0 0 0 0
0 0 0 0
0 1 0 0
0 1 0 0
0 0 0 0
0 0 1 0
0 0 0 0
0 1 0 1
0 0 0 0
0 0 0 0
0 1 0 0
0 1 0 0
0 0 0 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 0 1
1 0 1 0
0 0 1 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
0 1 0 0
0 1 0 1
1 0 0 0
0 0 0 0
0 0 0 0
0 1 0 0
0 0 0 0
0 0 0 0
0 0 1 0
0 0 1 0
0 1 0 0
0 1 1 0
0 0 0 0
1 0 0 0
0 0 0 0
1 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
1 0 0 0
1 0 0 0
0 1 0 0
0 0 1 1
0 0 1 0
0 0 0 0
0 1 1 0
0 0 0 0
0 0 0 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 1 0
0 0 0 0
0 0 0 0
0 0 0 0
0 1 0 1
0 0 1 0
0 1 0 0
0 0 0 0
0 0 0 0
0 0 1 0
0 0 0 0
0 0 0 0
1 0 0 0
0 1 0 0
1 0 0 0
1 0 0 0
1 1 0 0
0 0 0 0
0 0 1 0
0 1 0 0
0 0 0 0
1 0 0 0
1 0 0 0
0 0 0 0
0 0 0 0
1 1 1 0
0 0 1 0
0 0 0 1
0 0 0 0
1 0 1 0
0 0 0 0
1 0 0 0
0 0 0 0
0 1 0 0
1 0 0 0
1 0 0 0
1 0 0 0
0 0 1 0
1 0 0 0
0 0 0 0
1 0 0 0
1 1 0 0
1 0 0 1
0 0 0 0
0 0 1 0
1 0 0 0
0 0 1 0
0 1 1 0
1 1 0 0
0 1 0 0
0 0 0 0
1 1 0 0
0 1 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
0 0 0 0
0 0 0 0
1 0 1 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 1 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 1 0 0
1 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
0 1 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
0 0 0 0
0 0 0 1
0 0 1 0
0 0 0 0
0 0 0 0
