Price	Number_of_Hours_Late	Number_Cancelled_per_Day_per_500	Bag_Delivery_Time	#_Lost_Bags
1998.41	0.4	53	25.4	2
1320.65	0.36	63	6.9	3
1914.15	0.42	28	7.9	3
1449.18	0.34	48	11.5	2
1217.93	0.35	38	25	1
1507.68	0.42	58	21	2
1511.73	0.39	53	23.4	3
1737.06	0.4	43	10.3	7
1965.15	0.44	53	32.4	3
1681.01	0.4	43	7	4
1984.17	0.36	63	6.8	3
1543.41	0.4	78	49.1	1
1496.81	0.38	43	14.5	4
2463.36	0.44	43	6.8	1
2098.29	0.4	53	9.6	0
1686.52	0.4	58	7.9	2
1597.91	0.41	38	10.8	4
1224.65	0.45	63	19.8	0
1629.16	0.43	63	15.8	2
1787.17	0.43	58	6.8	1
1873.38	0.4	58	18.7	2
1330.49	0.42	48	17.4	1
1786.58	0.37	53	9.5	2
1533.59	0.39	53	14.6	5
1659.22	0.38	53	27.4	1
1666.54	0.44	38	13.1	1
1463.5	0.39	43	7	1
1541.73	0.4	43	24.6	1
1902.17	0.42	38	17.9	6
1676.35	0.45	43	20.4	5
1917.83	0.41	53	7.8	3
1988.74	0.37	48	18.8	1
1857.12	0.36	53	31.7	3
2003.94	0.41	53	7.8	3
2252.25	0.4	33	24.5	2
1689.66	0.41	43	15.5	0
1906	0.38	18	11.6	1
1689.79	0.39	48	11.9	3
1257.94	0.41	63	9.2	1
1553.72	0.4	48	14.2	3
2028.7	0.34	48	6.8	2
1635.23	0.47	43	21.7	2
1479.54	0.35	28	13	0
1239.11	0.46	83	39.9	2
2089.49	0.41	68	25	3
1312.13	0.43	38	6.8	0
1698.59	0.38	63	19.1	4
1985.66	0.36	58	9.6	6
1386.39	0.4	73	35	1
1685.5	0.34	63	17.8	1
1551.63	0.36	38	15.5	
1314.54	0.44	38	15.4	
1757.95	0.47	33	6.8	
1388.42	0.39	48	8	
1614.8	0.42	18	12.7	
2291.62	0.41	48	23.6	
1731.89	0.33	43	6.8	
1881.61	0.43	68	21.7	
1662.95	0.37	113	12.6	
1498.28	0.36	68	6.9	
1601.23	0.42	63	7.9	
1221	0.37	53	8.6	
1751.22	0.44	53	30.9	
1593.18	0.38	48	6.8	
1394.82	0.44	33	10.7	
1738.39	0.36	38	12.4	
1398.19	0.38	68	9.1	
2254.53	0.36	38	9.7	
1572.89	0.39	58	13.8	
1913.28	0.4	48	13.2	
1717.45	0.39	48	6.8	
1948.65	0.36	48	6.8	
1229.49	0.4	53	29.3	
1157.76	0.41	73	26.2	
1600.1	0.36	78	29.3	
1688.88	0.37	63		
1463.15	0.46	48		
1764.85	0.4	43		
1421.54	0.37	63		
1763.35	0.45	48		
2057.14	0.44	43		
1460.51	0.41	28		
1944.47	0.4	63		
1440.45	0.37	43		
1998.18	0.35	53		
1902.77	0.33	48		
1606.77	0.42	63		
1604.74	0.39	38		
1284.5	0.4	53		
2027.62	0.39	38		
1653.68	0.33	33		
1244.92	0.36	63		
1466.08	0.32	28		
1377.24	0.4	23		
2075.75	0.42	48		
1688.97	0.37	48		
1510	0.35	38		
1491.49	0.44	53		
1510.68	0.39	53		
1940.22	0.35	43		
1249.45	0.39	43		
1798.85	0.4	63		
1521.68	0.39	88		
2144.89	0.38	33		
1213.22	0.38	78		
2096.94	0.36	48		
1884.55	0.39	53		
1654.86	0.38	28		
1657.24	0.44	63		
1585.82	0.43	43		
2064.99	0.37	43		
1715.9	0.44	58		
1904.46	0.39	73		
1500.6	0.42	43		
1958.4	0.42	48		
1878.94	0.41	38		
1839.86	0.43	38		
1227.64	0.36	38		
2042.12	0.41	63		
1710.98	0.41	58		
1480.62	0.33	73		
1437.92	0.42	68		
1873.71	0.37	33		
2033.83	0.46	78		
1161.23	0.39	58		
1752.24	0.37	63		
1520.89	0.39	73		
1126.18	0.35	43		
1728.96	0.4	63		
2033.54	0.45	33		
1514.36	0.42	63		
2035.1	0.38	68		
1135.8	0.38	38		
1844.82	0.37	48		
1225.62	0.48	43		
1698.54	0.47	48		
1462.8	0.4	48		
1649.67	0.43	58		
1260.08	0.37	63		
1441.55	0.43	38		
1718.09	0.38	38		
1045.29	0.37	53		
1889.43	0.41	48		
1434.18	0.41	78		
1667.24	0.4	68		
1736.65	0.44	43		
1204.74	0.45	73		
1813.2	0.38	28		
1722.28	0.37	53		
1319.62	0.44	53		
1817.22	0.4	53		
1599.72	0.34	38		
1446.22	0.4	58		
2105.41	0.35	38		
1659.54	0.38	73		
1766.49	0.42	53		
1303.72	0.44	63		
1109	0.46	53		
1079.32	0.38	68		
1506.94	0.37	48		
1968.65	0.4	63		
2113.78	0.45	53		
1758.99	0.38	38		
1324.9	0.38	48		
2215.03	0.44	58		
1900.68	0.43	53		
1549.95	0.46	58		
1691.92	0.44	53		
1540.09	0.4	48		
1658.63	0.47	68		
1288.25	0.38	63		
2119.67	0.36	53		
1845.25	0.44	68		
1831.57	0.46	53		
1437.29	0.38	53		
1501.26	0.39	43		
1794.2	0.35	43		
1770.41	0.35	43		
1868.94	0.36	48		
2052.98	0.42	43		
1204.41	0.33	28		
1970.18	0.52	63		
1760.65	0.41	43		
1083.67	0.38	63		
1567.9	0.42	38		
1442.83	0.32	33		
1301.9	0.43	28		
1799.34	0.39	58		
1146.43	0.36	63		
1705.27	0.43	53		
1787.97	0.39	43		
1732.77	0.36	73		
1847.61	0.33	48		
1445.55	0.41	43		
1744.22	0.4	63		
1661.19	0.44	63		
1964.38	0.36	63		
2021.89	0.46	63		
1505.94	0.44	33		
1903.09	0.34	43		
1626.11	0.38	38		
1416.28	0.38	43		
1681.12	0.45	38		
2072.79	0.38	68		
1567.42	0.37	43		
1685.49	0.41	53		
1662.1	0.37	63		
1265.01	0.31	38		
1860.45	0.43	63		
1802.22	0.39	63		
1463.81	0.41	33		
1557.26	0.38	33		
2164.8	0.38	23		
1701.82	0.44	33		
1427.22	0.46	63		
2347.54	0.37	58		
1973.1	0.34	58		
1503.01	0.37	58		
1598.22	0.39	38		
1819.49	0.38	38		
1028.18	0.43	43		
1987.12	0.42	68		
1807.45	0.45	48		
1384.82	0.37	43		
1790.83	0.41	38		
1965.66	0.44	33		
1579.71	0.47	58		
1826.08	0.34	63		
1633.67	0.41	43		
1765.78	0.37	38		
1428.54	0.37	43		
1729.74	0.46	48		
1785.79	0.37	63		
1104.88	0.48	53		
948.82	0.45	48		
2054.46	0.38	43		
1401.41	0.4	48		
1831.01	0.42	48		
1931	0.4	43		
2007.98	0.4	53		
1588.63	0.38	48		
1697.74	0.42	48		
1758.99	0.37	48		
1235.18	0.42	48		
1731.42	0.42	58		
1326.05	0.46	38		
1412.26	0.39	63		
1420.4	0.43	33		
1786.49	0.38	48		
1204.41	0.45	63		
1613.4	0.42	53		
1506.92	0.4	58		
1863.58	0.4	63		
1257.75	0.37	53		
1595.38	0.45	78		
1517.05	0.38	53		
1596.42	0.45	53		
1675.32	0.41	63		
1596.95	0.41	28		
2005.82	0.37	53		
1876.92	0.42	78		
2014.54	0.38	43		
1234.75	0.38	63		
1650.06	0.36	73		
1268.02	0.41	48		
1396.03	0.43	53		
1350.1	0.37	83		
1853.62	0.35	68		
2203.08	0.38	18		
1591.71	0.41	28		
1715.95	0.37	53		
1184.98	0.39	58		
1556.94	0.4	63		
1503.33	0.42	43		
1739.58	0.42	38		
1722.85	0.43	68		
1818.17	0.37	63		
2092.36	0.4	38		
1411.66	0.37	43		
2073.07	0.37	43		
976.19	0.32	43		
2136.16	0.42	63		
1545.89	0.38	88		
1521.98	0.44	48		
2147.38	0.4	48		
1828.77	0.47	38		
1963.58	0.37	33		
1574.46	0.4	28		
1429.68	0.46	43		
1297.01	0.36	43		
1760.23	0.42	48		
1868.38	0.36	58		
1426.22	0.36	68		
1245.09	0.35	63		
1212.38	0.36	48		
1508.45	0.39	48		
1731.33	0.44	43		
1786.75	0.47	73		
1457	0.39	68		
1582.58	0.39	78		
1038.01	0.38	33		
1463.85	0.38	38		
2058.35	0.38	33		
1668.08	0.39	53		
1568.62	0.41	78		
2031.42	0.44	43		
2059.31	0.33	43		
1452.12	0.4	33		
1511.62	0.39	23		
1773.18	0.39	53		
1506.78	0.43	43		
1337.86	0.39	38		
1289.3	0.39	58		
2306.69	0.37	33		
1478.77	0.4	48		
1610.38	0.38	48		
1796.12	0.36	78		
1505.45	0.42	28		
1470.13	0.45	48		
1573.43	0.42	53		
1672.71	0.4	68		
1301.44	0.45	58		
1703.78	0.44	28		
1644.16	0.34	78		
1851.59	0.32	73		
1569.99	0.33	23		
1235.94	0.4	43		
1621.43	0.41	58		
1782.14	0.46	68		
1879.1	0.36	78		
1465.25	0.38	58		
1577.26	0.42	43		
1880.48	0.37	63		
1806.2	0.43	43		
1746.59	0.41	48		
1715.98	0.4	63		
1851.81	0.42	73		
1539.45	0.37	78		
1675.05	0.38	53		
1435.1	0.37	48		
1659.19	0.39	53		
1666.23	0.43	33		
1722.9	0.4	48		
1573.45	0.41	48		
1862.18	0.42	38		
1517.23	0.4	38		
1631.38	0.4	58		
1740.18	0.38	48		
1344.7	0.44	53		
1663.94	0.39	63		
1582.2	0.37	38		
1333.59	0.47	58		
1626.5	0.39	38		
1246.17	0.34	58		
1378.48	0.39	53		
1801.75	0.39	53		
1674.28	0.43	58		
1710.14	0.43	28		
1357.91	0.37	53		
2016.19	0.38	48		
1631.19	0.36	48		
1651.35	0.4	43		
1591.5	0.44	68		
1661.65	0.38	53		
1852.67	0.38	28		
2125.62	0.36	28		
1688.59	0.38	48		
1599.09	0.42	43		
1759.13	0.4	53		
1400.74	0.42	48		
2096.59	0.41	33		
1060.58	0.39	58		
1557.59	0.39	58		
