Delivery Time: Dominos 1	Delivery Time: Dominos 2
35	16
17	14
18	16
21	13
35	18
31	15
33	21
20	22
42	13
17	18
17	18
59	13
25	19
17	13
20	17
18	13
21	16
30	25
26	13
17	13
29	37
27	17
20	18
25	19
37	24
23	26
17	13
35	15
28	19
30	18
18	14
29	21
42	21
18	19
35	14
25	13
22	13
22	20
19	12
24	15
17	29
32	14
23	12
50	20
35	19
17	18
29	12
20	13
45	12
28	29
26	13
25	12
17	15
18	14
23	16
34	13
17	19
32	12
23	21
17	16
18	22
19	12
41	16
17	31
21	13
22	31
19	17
20	18
24	23
23	17
17	12
17	30
39	20
36	14
39	13
